"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"FPLWK","4","Heating","1","JFPLWK","Unit has useable fireplace",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Does this housing unit have a useable fireplace?",9,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No||B or -6: Not applicable"
"AFUR","4","Heating","1","NA","Forced air furnace as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does your housing unit HAVE or USE?",10,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"COKST","4","Heating","1","NA","Cook stove used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",11,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"DAFUR","4","Heating","1","JDAFUR","Forced air furnace - DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",12,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DCOKST","4","Heating","1","JDCOOK","Cookstove - DK if supplemental/parallel heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",13,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DELECT","4","Heating","1","JDELEC","Built-in electric unit-DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",14,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"DFLOT","4","Heating","1","JDFLOT","Vented room heater - DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",15,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DFRPL","4","Heating","1","JDFRPL","Fireplace w/out inserts-DK supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",16,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DFRPLI","4","Heating","1","JDFPLI","Fireplace w/ inserts-DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",17,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DHOTH","4","Heating","1","JDHOTH","Other type of heat equipment-DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",18,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DHPMP","4","Heating","1","JDHPMP","Heat pump - DK is supplemental/parallel heat equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",19,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DPLF","4","Heating","1","JDPLF","Pipeless furnace - DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",20,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DSTEAM","4","Heating","1","JDSTEA","Steam/hot water system-DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",21,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know"
"DSTOVE","4","Heating","1","JDSTOV","Woodburning stove - DK if supplemental/parallel",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Answer choice of D is appropriate response for condition being true.","This variable is a recode added to the file for the sole purpose of denoting that this piece of secondary heating equipment exists in the housing unit, but we do not know if it is a supplemental or parallel piece of heating equipment. The on",22,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"EHEATUT","4","Heating","1","NA","Energy star rated heating equipment",,"Coming Soon","NEWHOUSE","PUF","2011","Equipment and Appliances",,,,"Are any of these appliances energy star rated?",23,"Character","2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"ELECT","4","Heating","1","NA","Electrical units used as supplemental heat equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",24,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"FAFUR","4","Heating","1","JFAFUR","Fuel used by forced warm-air furnace",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the forced warm-air furnace with ducts and vents to individual rooms use?",25,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FELECT","4","Heating","1","JFELEC","Fuel used by built-in electric units",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the built-in electric unit use?",26,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FFLIN","4","Heating","1","JFFLIN","Fuel used by unvented room heaters",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the unvented room heater burning kerosene, gas, or oil use?",27,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FFLOT","4","Heating","1","JFFLOT","Fuel used by vented room heaters",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the vented room heater burning kerosene, gas, or oil use?",28,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FFRPL","4","Heating","1","JFFRPL","Fuel used by fireplace without inserts",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What fuel is used for the fireplace without inserts?",29,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"FFRPLI","4","Heating","1","JFFPLI","Fuel used by fireplace with inserts",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What fuel is used for the fireplace with inserts?",30,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable||D or -7: Don't know"
"FHOTH","4","Heating","1","JFHOTH","Fuel used by other supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the other heating equipment use?",31,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable||D or -7: Don't know"
"FHPMP","4","Heating","1","JFHPMP","Fuel used by electric heat pump",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the electric heat pump use?",32,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FLIN","4","Heating","1","NA","Heating equipment not vented to outside",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked). Information on [Working room heaters] is not available on the public use file.","Is it VENTED to the outside through a chimney, flue, or pipes OR is it UNVENTED?",33,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"FLOT","4","Heating","1","NA","Heating equipment vented to outside",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked). Information on [Working room heaters] is not available on the public use file.","Is it VENTED to the outside through a chimney, flue, or pipes OR is it UNVENTED?",34,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"FPINS","4","Heating","1","NA","Fireplace has inserts",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"Information on [Don't consider fireplace to be heating equipment] is not available on the public use file.","Does it have inserts, that is, equipment designed to circulate more heat into the room?",35,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes, all with inserts||2: Yes, some with inserts||3: No, none have inserts||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"FPLF","4","Heating","1","JFPLF","Fuel used by built-in pipeless furnace",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the floor, wall, or other pipeless furnace built into the structure use?",36,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FPORTH","4","Heating","1","JFPORH","Fuel used by portable electric heaters",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the portable electric heater use?",37,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FRPL","4","Heating","1","NA","Fireplace does not have inserts",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"The first response code was changed from 'X' to '1' for 2011 and forward.","Does it have inserts, that is, equipment designed to circulate more heat into the room?",38,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: No, none have inserts||B or -6: Not applicable||Blank or -9: Not reported"
"FRPLI","4","Heating","1","NA","Fireplace has inserts",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"The first response code was changed from 'X' to '1' for 2011 and forward.","Does it have inserts, that is, equipment designed to circulate more heat into the room?",39,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes, some or all with inserts||B or -6: Not applicable||Blank or -9: Not reported"
"FSTEAM","4","Heating","1","JFSTEA","Fuel used by steam/hot water system",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the steam/hot water system with radiators OR other system using steam/hot water use?",40,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"FSTOVE","4","Heating","1","JFSTOV","Fuel used by woodburning/franklin stove",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"What type of fuel does the woodburning, pot belly, or franklin stove use?",41,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Electricity||2: Gas, LP gas (propane)||3: Fuel Oil||4: Kerosene or other liquid fuel||5: Coal or coke||6: Wood||7: Solar energy||8: Other, (SPECIFY)||B or -6: Not applicable"
"GASPI2","4","Heating","1","JASPI2","Source of gas heat for vacant units",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","Equipment and Appliances",,,,"Is it from underground pipes or bottled gas?",42,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999","1: Underground pipes serving the neighborhood||2: Bottled gas||B or -6: Not applicable"
"GASPIP","4","Heating","1","JASPIP","Gas from underground pipes or bottles",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is the gas from underground pipes or bottled gas?",43,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Underground pipes serving neighborhood||2: Bottled gas||B or -6: Not applicable"
"HOTH","4","Heating","1","NA","Other equipment used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",44,"Character","2013;2011;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HPMP","4","Heating","1","NA","Heat pump used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",45,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"NONE","4","Heating","1","NA","No supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",46,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PAFUR","4","Heating","1","NA","Forced air furnace is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this forced warm-air furnace with ducts and vents to individual rooms used to heat an area of this housing unit that would not be heated by this primary heating equipment?",47,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PCOKST","4","Heating","1","NA","Cookstove is parallel supplemental heating equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this electric or gas cook stove used to heat an area of this housing unit that would not be heated by this primary heating equipment?",48,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PELECT","4","Heating","1","NA","Built-in electric unit is parallel equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this built-in electric unit used to heat an area of this housing unit that would not be heated by this primary heating equipment?",49,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PFLOT","4","Heating","1","NA","Vented room heater is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this vented room heater burning kerosene, gas, or oil used to heat an area of this housing unit that would not be heated by this primary heating equipment?",50,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PFRPL","4","Heating","1","NA","Fireplace without inserts is parallel equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this fireplace without inserts used to heat an area of this housing unit that would not be heated by this primary heating equipment?",51,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PFRPLI","4","Heating","1","NA","Fireplace w/ inserts is parallel equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this fireplace with inserts used to heat an area of this unit that would not be heated by primary heating equipment?",52,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PHOTH","4","Heating","1","NA","Some other type is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this other heating equipment used to heat an area of this housing unit that would not be heated by this primary heating equipment?",53,,"2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||B or -6: Not applicable||Blank or -9: Not reported"
"PHPMP","4","Heating","1","NA","Heat pump is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this electric heat pump used to heat an area of this housing unit that would not be heated by this primary heating equipment?",54,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
"PLF","4","Heating","1","NA","Pipeless furnace used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",55,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PORTH","4","Heating","1","NA","Portable electric heaters used as supplemental heating equipment",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What OTHER kinds of working heating equipment does this housing unit HAVE or USE?",56,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PPLF","4","Heating","1","NA","Pipeless furnace is parallel supplemental equipment",,"Coming Soon","NEWHOUSE(2005,2004,2003,2002,2001); HOUSHLD(1999,1998,1997)","PUF","2005;2004;2003;2002;2001;1999;1998;1997","Equipment and Appliances",,,,"Is this floor, wall, or other pipeless furnace built into the structure used to heat an area of this housing unit that would not be heated by this primary heating equipment?",57,,"2005;2004;2003;2002;2001;1999;1998;1997","B or -6: Not applicable||Blank or -9: Not reported||X: Unit has parallel use, [insert name of equipment type]"
